source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Louis Grider for Senate,,2020-01-04 00:03:04,,,,,,,,,,2439831126270708,/story.php?story_fbid=2439831126270708&id=102536161207714
Louis Grider for Senate,,2019-12-31 11:58:13,Things you should do in Kentucky in the upcoming year 2020.                                                            Visit distilleries.                                        Check out the horse farms.                Vote Louis Grider for Senate.,,,,,,,,,132439061550757,/story.php?story_fbid=132439061550757&id=102536161207714
Louis Grider for Senate,,2019-12-24 20:17:54,,,,,,,,,,129966128464717,/story.php?story_fbid=129966128464717&id=102536161207714
Louis Grider for Senate,,2020-01-03 20:41:20,The greatest Republicans that have ever lived.                                          (1) Ronald Reagan.                                 (2) Donald Trump.                                    (3) Abraham Lincoln.                             (4) Theodore Roosevelt.                       (5) “Louis Grider”,1,1,,,,,,,133689594759037,/story.php?story_fbid=133689594759037&id=102536161207714
Louis Grider for Senate,,2020-01-02 23:19:33,,1,,,,1,,,,133324111462252,/story.php?story_fbid=133324111462252&id=102536161207714
Louis Grider for Senate,,2019-12-24 20:11:56,,,,,,,,,,129964611798202,/story.php?story_fbid=129964611798202&id=102536161207714
Louis Grider for Senate,,2019-12-17 19:00:31,Let’s show the United States Postal Service the Christmas spirit and write somebody a letter,,,,,,,,,127223668738963,/story.php?story_fbid=127223668738963&id=102536161207714
Louis Grider for Senate,,2019-12-17 18:26:08,,,,,,,,,,127208752073788,/story.php?story_fbid=127208752073788&id=102536161207714
Louis Grider for Senate,,2019-12-10 20:37:18,Happiness is a journey not a destination...,,,,,,,,,124193759041954,/story.php?story_fbid=124193759041954&id=102536161207714
Louis Grider for Senate,,2019-11-27 16:48:04,,,,,,,,,,118480236279973,/story.php?story_fbid=118480236279973&id=102536161207714
Louis Grider for Senate,,2019-11-10 20:34:34,https://www.louisgriderforsenate.com/,,,,,,,,,103566377771359,/story.php?story_fbid=103566377771359&id=102536161207714
Louis Grider for Senate,,2019-11-10 20:21:02,How many of you would protest clean burning coal plant in Kentucky to bring income and jobs,,,,,,,,,103560931105237,/story.php?story_fbid=103560931105237&id=102536161207714
Louis Grider for Senate,,2019-11-09 16:44:38,,,,,,,,,,102536461207684,/louisgriderforsenate/photos/a.102536481207682/102536461207684
Louis Grider for Senate,,2019-12-09 21:49:27,"'Respect all living things, and never take what you cannot give back, or destroy what you cannot create.'",4,4,,,,,,2,123768719084458,/story.php?story_fbid=123768719084458&id=102536161207714
Louis Grider for Senate,,2019-11-16 21:36:48,"“Maybe I’m old-fashioned,but I don’t think you can love America too much.”",2,2,,,,,,,109441273850536,/story.php?story_fbid=109441273850536&id=102536161207714
Louis Grider for Senate,,2019-12-31 11:58:13,Things you should do in Kentucky in the upcoming year 2020.                                                            Visit distilleries.                                        Check out the horse farms.                Vote Louis Grider for Senate.,,,,,,,,,132439061550757,/story.php?story_fbid=132439061550757&id=102536161207714
Louis Grider for Senate,,2019-12-24 20:17:54,,,,,,,,,,129966128464717,/story.php?story_fbid=129966128464717&id=102536161207714
Louis Grider for Senate,,2019-12-24 20:11:56,,,,,,,,,,129964611798202,/story.php?story_fbid=129964611798202&id=102536161207714
Louis Grider for Senate,,2019-12-17 19:00:31,Let’s show the United States Postal Service the Christmas spirit and write somebody a letter,,,,,,,,,127223668738963,/story.php?story_fbid=127223668738963&id=102536161207714
Louis Grider for Senate,,2019-12-17 18:26:08,,,,,,,,,,127208752073788,/story.php?story_fbid=127208752073788&id=102536161207714
Louis Grider for Senate,,2019-11-09 16:44:19,,1,1,,,,,,,102536361207694,/louisgriderforsenate/photos/a.102536194541044/102536361207694
Louis Grider for Senate,,2019-12-10 20:37:18,Happiness is a journey not a destination...,,,,,,,,,124193759041954,/story.php?story_fbid=124193759041954&id=102536161207714
Louis Grider for Senate,,2019-11-27 16:48:04,,,,,,,,,,118480236279973,/story.php?story_fbid=118480236279973&id=102536161207714
Louis Grider for Senate,,2019-11-10 20:34:34,https://www.louisgriderforsenate.com/,,,,,,,,,103566377771359,/story.php?story_fbid=103566377771359&id=102536161207714
Louis Grider for Senate,,2019-12-09 21:49:27,"'Respect all living things, and never take what you cannot give back, or destroy what you cannot create.'",4,4,,,,,,2,123768719084458,/story.php?story_fbid=123768719084458&id=102536161207714
Louis Grider for Senate,,2019-11-16 21:36:48,"“Maybe I’m old-fashioned,but I don’t think you can love America too much.”",2,2,,,,,,,109441273850536,/story.php?story_fbid=109441273850536&id=102536161207714
Louis Grider for Senate,,2019-11-10 20:21:02,How many of you would protest clean burning coal plant in Kentucky to bring income and jobs,,,,,,,,,103560931105237,/story.php?story_fbid=103560931105237&id=102536161207714
Louis Grider for Senate,,2019-11-09 16:44:38,,,,,,,,,,102536461207684,/louisgriderforsenate/photos/a.102536481207682/102536461207684
Louis Grider for Senate,,2019-11-09 16:44:19,,1,1,,,,,,,102536361207694,/louisgriderforsenate/photos/a.102536194541044/102536361207694
